PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	GHENT, AW				GHENT, AW			INSIGHTS INTO DIVERSITY AND NICHE BREADTH ANALYSES FROM EXACT SMALL-SAMPLE TESTS OF THE EQUAL ABUNDANCE HYPOTHESIS	AMERICAN MIDLAND NATURALIST												Exact test procedures are detailed for niche breadth as the general case, and for diversity as a subset of niche breadth analysis. Numerators of niche breadth probabilities are obtained as chain multiplications of three individually simple combinatorial calculations, only two of which are needed in analyses of species diversity. Algebraic checks on counts of terms and sums of numerators are developed. The two-niche case is used to demonstrate the high probabilities associated with high niche diversity, these effectively limiting tests for significant nonrandomness to the low diversity tail. Examination of diversity indices as rank-ordering devices reveals that all the common indices (Shannon's H', Brillouin's H, Simpson's C' and its close relatives) yield rank orders identical to some algebraic functions of the equiprobable 1:1:..:1 model, so that any use of these indices locks us into the equiprobable model no matter what alternative model we may claim as our intended interest. These common indices are found to yield very similar rank orderings, so that the likelihood of disagreement with a "correct" ordering is less than 5% for neighboring partitions of N organisms into n niches or s species, and much less than 5% for randomly selected partitions, even if a diversity index is selected at random without regard for its theoretical suitabilities. The statistical expectation of Simpson's C' (the complement of Simpson's original index) is found to be (n - 1)/n for n niches regardless of N, and to be (s - 1)/s for s species, to four decimal places or more, if species diversity sampling is continued until each species is represented on average by 7.5 individuals or more. The "evenness" measures V' and V, representing ratios of observed to maximum values of diversity indices, are found to attain values of 0.99 or more at the 50th percentiles of the probability distributions of diversity indices and are judged to be ecologically misleading and valueless. The claim that there is anything about Brillouin's H that suits it more to a census than a sample is disputed. Simpson's C' is recommended as the most serviceable of the examined indices, both because of the simple formulae for its statistical expectations and because its rank orderings are found to be identical to those given by the variance (or its square root) of the counts of species or niche occupants.																			0003-0031					OCT	1991	126	2					213	255		10.2307/2426100	http://dx.doi.org/10.2307/2426100													WOS:A1991GM89100001
J	RATLIFF, RD				RATLIFF, RD			RANGELAND-ALPHA DIVERSITIES - HARVEY VALLEY, LASSEN-NATIONAL-FOREST, CALIFORNIA	GREAT BASIN NATURALIST												Monitoring diversity usually begins by estimating alpha diversity of a plant community on a specific site. The objectives of this study were to provide alpha diversity benchmarks and to determine whether rangeland community basal cover characteristics explained variation in diversity estimates. Plant and surface component cover percentages were estimated on 51 plots (representing four vegetation types) on the Lassen National Forest, CA. Each plot was sampled with 30 random, 102 basal point transects. Jackknife procedures were used to compute means and standard errors for Margalef's diversity index (D-m), which stresses species richness, and. Simpson's index (D-s), which stresses species dominance. Within vegetation types, D-m and D-s did not rank all plots in the same order Highest D-m values occurred with the most species. Highest D-s values occurred with comparatively few species but more uniform cover. With either index, average diversity declined from the meadow to grassland to open shrub-grass to timber-bunchgrass types. All possible subset regressions of diversity on the basal cover characteristics were computed. Portions of the variance accounted for by the best models were too low to allow prediction of D-m and D-s. The relation of alpha diversity to rangeland health is discussed.																			0017-3614					JAN	1995	55	1					46	57																WOS:A1995QE75300005
J	Bennie, J; Anderson, K; Wetherelt, A				Bennie, Jonathan; Anderson, Karen; Wetherelt, Andrew			Measuring biodiversity across spatial scales in a raised bog using a novel paired-sample diversity index	JOURNAL OF ECOLOGY												1. Biodiversity is an inherently spatial phenomenon. It is determined by environmental heterogeneity and by spatially structured ecological processes such as disturbance, competition and dispersal. However, conventional biodiversity indices are based on discrete samples or pooled sets of samples without sufficient consideration of the spatial relationships between the samples. 2. Here we describe a new method for spatial analysis of species diversity, based on a paired-sample version of the widely used Gini-Simpson diversity index and its numbers equivalent. The index and its numbers equivalent are plotted as a function of lag distance between two samples along spatial and/or environmental gradients. 3. We demonstrate the potential of this approach by applying it to two transects of fine-scale (5 x 5 cm quadrat) vegetation data from sites with contrasting hydrology within a raised bog, where the location of each quadrat is accurately recorded and the height of the bog surface above the water table is measured using a terrestrial laser scanner. 4. Both transects have similar alpha-diversity as measured using the Gini-Simpson index, and the transition between alpha- and gamma-diversity occurs at similar length scales, suggesting that species aggregate at similar scales along both transects. However, the transect from the central bog dome has higher gamma-diversity than that from the bog margin, and shows more marked significant spatial structure at a length scale of 135-140 cm, corresponding to the typical hummock hollow microtopography at the site. We show that beta-diversity at both transects can be attributable to both species clustering along the hydrological gradient, consistent with niche partitioning, as well as independent spatial aggregation of species that is not explained by hydrology. 5. Synthesis. The paired-sample diversity index described here is a potentially useful tool in detecting and attributing patterns of beta-diversity along both spatial and environmental gradients.					Anderson, Karen/ABC-3524-2021; Bennie, Jonathan/A-6526-2010	Anderson, Karen/0000-0002-3289-2598; Bennie, Jonathan/0000-0003-4394-2041													0022-0477					MAR	2011	99	2					482	490		10.1111/j.1365-2745.2010.01762.x	http://dx.doi.org/10.1111/j.1365-2745.2010.01762.x													WOS:000287785300014
J	Manzoor, F; Chaudhary, M; Sheikh, N; Khan, IA; Khan, T				Manzoor, Farkhanda; Chaudhary, Mahrukh; Sheikh, Nadeem; Khan, Imtiaz Ali; Khan, Tariq			Diversity and Proportion of Termite Species in Garden Trees and Wheat Crop in District Bhakkar, Pakistan	PAKISTAN JOURNAL OF ZOOLOGY												The diversity and proportions of termite species was studied in a wheat crop and garden trees from January to June, 2006 in District Bhakkar. Six species of termites i.e., Coptotermes heimi, Microcerotermes spp., Odontotermes obesus, Microtermes obesi, Microtermes mycophagus and Odontotermes guptai were recorded from wheat fields and garden trees. Termite species inhabited different portions of trees. The results also provided a comparison between the termite species diversity in wheat crop and garden trees. Diversity of termites recovered from soil core revealed 35% diversity on the Simpson index and 84% on the Shannon scale. M. mycophagus was the dominant termite species in both garden trees as well as wheat crop. The six species variably inhabit different portions of garden trees.					Sheikh, Nadeem/GXF-4796-2022; Sheikh, Nadeem/A-5138-2010	Sheikh, Nadeem/0000-0001-9503-9538; MANZOOR, FARKHANDA/0000-0003-2434-4791													0030-9923					JUN	2011	43	3					537	541																WOS:000286567700016
J	Gao, B; Wu, DH				Gao, B.; Wu, D. H.			THE EFFECTS OF RETURNING FARMLANDS TO FORESTS OR PASTURES ON SOIL ANIMAL DIVERSITY AND ITS REGIONAL DIFFERENTIATION CHARACTERISTICS IN CHINA: A META-ANALYSIS	APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH												A meta-analysis was conducted to investigate the effect of returning farmlands to forests or pastures on soil animal diversity and its regional differentiation characteristics in China Overall, based on the Shannon-Wiener index and Simpson index values, we found that returning farmland to forest (pasture) had an important effect on soil animal diversity. Forests and pastures might have a higher species richness and lower species evenness of soil animals than farmland. The effect of returning farmland to forest on soil animal diversity was greater than the effect of a return to pasture, although the effects varied between different land use/cover changes. The Shannon-Wiener index and Simpson index values showed different regional characteristics of soil animals when returning farmland to forest (pasture) in North China, South China, Northwest China and Qinghai-Tibet China Returning farmland to forest (pasture) should be more conducive to increasing soil animal species richness in high-temperature regions and increasing soil animal species evenness in low-temperature regions. Furthermore, in low-temperature regions, returning farmland to forest affected the soil animal diversity more than returning farmland to pasture. Returning farmland to forest was more conducive in improving soil animal diversity synthetically in dry regions, and the changes in soil animal diversity due to the effect of returning farmland to pasture were not evident between dry and rainy regions in China.																			1589-1623	1785-0037					2020	18	5					6335	6353		10.15666/aeer/1805_63356353	http://dx.doi.org/10.15666/aeer/1805_63356353													WOS:000585225100020
C	Safár, J		Skarpa, P		Safar, J.			MAINTAINING BIOLOGICAL DIVERSITY OF MOTHS IN VINEYARDS	MENDELNET 2011					International Ph.D. Students Conference on MendelNet 2011	NOV 23, 2011	Fac Agron, Brno, CZECH REPUBLIC	Mendel Univ Brno, Fac Agron	Fac Agron			Research on biodiversity of moths was conducted in South Moravia in 2010. Four experimental sites were at two locations near the protected landscape area of Palava, three of them included methodically different managements in vineyards (conventional, integrated and organic) and the comparative closest forest-steppe habitat. Biodiversity of moths was studied using portable light traps with an 8 W ultraviolet lamp. A spectrum of moths called Macrolepidoptera was studied. The results demonstrate that biodiversity in vineyards is increasing with vineyards ecologization even at relatively large distance from natural habitats (up to several kilometers). The broad diversity and equitability indicators (Simpson's and Shannon-Wiener diversity index) show that organic vineyards have more distributed equitability and species balance is lower. It is therefore clear that the conventional vineyards are the most similar to each other by poor species spectrum and a low number of specimens. The most interesting findings resulted from Spearman's correlation coefficient. The most demonstrable (probability of 99%) is the influence of vegetation succession in alleyways on the number of specimens in the vineyards. Highly demonstrable (95%) are also influences of vegetation succession (on the number of species, number of specimens, Simpson's equitability index and Shannon's diversity index), duration of pheromones application in order to confuse male pests (the Simpson's diversity index and Shannon's equitability index), vineyard age on abundance of specimens and the use of insecticides on the number of species and specimens.																					978-80-7375-563-8				2011							802	807																WOS:000341783400100
J	Shimatani, K				Shimatani, K			On the measurement of species diversity incorporating species differences	OIKOS												When pairwise differences (relatedness) between species are numerically given, the average of the species differences weighted by relative frequencies can be used as a species diversity index. This paper first theoretically develops the indices of this type. then applies them to forestry data. As examples of diversity indices, this paper explores the taxonomic diversity and the newly introduced amino acid diversity, which is a modification of the nucleotide diversity in genetics. The first, mathematical part shows that both indices can be decomposed into three inner factors: evenness of relative frequencies (= the Simpson index), the simple average over species differences regardless of relative frequencies, and the taxonomic or genetic balance in relative frequencies. The taxonomic diversity has another decomposition: the sum over the Simpson indices at all the taxonomic levels. The second part examines the effects of different forest management techniques on diversity. It is shown that a thinning operation for promoting survival of specific desirable species also contributed to increasing the taxonomic diversity. If we calculated only conventional indices that do not incorporate species relatedness, we would simply conclude that the thinning did not significantly affect the diversity. The theoretical developments of the first part complement the result. leading us to a better interpretation about contrasting vegetation structures. The mathematical results also reveal that the amino acid diversity involves redundant species, which is undesirable when measuring diversity; hence, this index is used to demonstrates crucial points when we introduce species relatedness. The results suggest further possibilities of applying diversity indices incorporating species differences to a variety of ecological studies.																			0030-1299	1600-0706				APR	2001	93	1					135	147		10.1034/j.1600-0706.2001.930115.x	http://dx.doi.org/10.1034/j.1600-0706.2001.930115.x													WOS:000168901700015
J	Ndlovu, T; Khan, S; Khan, W				Ndlovu, Thando; Khan, Sehaam; Khan, Wesaal			Distribution and diversity of biosurfactant-producing bacteria in a wastewater treatment plant	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH												The distribution and diversity of culturable biosurfactant-producing bacteria were investigated in a wastewater treatment plant (WWTP) using the Shannon and Simpson's indices. Twenty wastewater samples were analysed, and from 667 isolates obtained, 32 were classified as biosurfactant producers as they reduced the surface tension of the culture medium (71.1 mN/m), with the lowest value of 32.1 mN/m observed. Certain isolates also formed stable emulsions with diesel, kerosene and mineral oils. The 16S ribosomal RNA (rRNA) analysis classified the biosurfactant producers into the Aeromonadaceae, Bacillaceae, Enterobacteriaceae, Gordoniaceae and the Pseudomonadaceae families. In addition, numerous isolates carried the surfactin 4'-phosphopantetheinyl transferase (sfp), rhamnosyltransferase subunit B (rhlB) and bacillomycin C (bamC) genes involved in the biosynthesis of surfactin, rhamnolipid and bacillomycin, respectively. While, biosurfactant-producing bacteria were found at all sampling points in the WWTP, the Simpson's diversity (1 - D) and the Shannon-Weaver (H) indices revealed an increase in bacterial diversity in the influent samples (0.8356 and 2.08), followed by the effluent (0.8 and 1.6094) and then the biological trickling filter (0.7901 and 1.6770) samples. Numerous biosurfactant-producing bacteria belonging to diverse genera are thus present throughout a WWTP.					Ndlovu, Thando/AGR-2333-2022	Ndlovu, Thando/0000-0002-5624-8975; Khan, Sehaam/0000-0002-6030-6058													0944-1344	1614-7499				MAY	2016	23	10					9993	10004		10.1007/s11356-016-6249-5	http://dx.doi.org/10.1007/s11356-016-6249-5								26865483					WOS:000376421400068
J	Fortin, M; Kondratyeva, A; Van Couwenberghe, R				Fortin, Mathieu; Kondratyeva, Anna; Van Couwenberghe, Rosalinde			Improved β-diversity estimators based on multiple-site dissimilarity: Distinguishing the sample from the population	GLOBAL ECOLOGY AND BIOGEOGRAPHY												Aim beta-diversity is often measured through incidence-based dissimilarity indices, such as the Simpson and Sorensen indices. Multiple-site versions of these indices, which have been recently developed, enhance the accountability of global heterogeneity relative to the original formulations. However, they are known to be sensitive to the number of sites, which hinders the comparison of beta-diversity between two populations of unequal sizes. Moreover, the populations are never completely measured and the dissimilarity must be estimated from a sample of sites. Innovation In this study, we propose adapted multiple-site versions of the Simpson, Sorensen and nestedness indices that are population size-independent as well as estimators of these indices. The properties of the indices and their estimators were tested through simulation studies. These simulation studies show that the adapted indices were population size-independent. The estimators and their estimated standard errors were nearly unbiased for moderate sample sizes (n >= 25). Main conclusions These estimators of these adapted multiple-site dissimilarity indices now make it possible to compare the beta-diversity of two populations of unequal sizes.					Kondratyeva, Anna/ABQ-6442-2022														1466-822X	1466-8238				2020 JUN	2020	29	6					1073	1084		10.1111/geb.13080	http://dx.doi.org/10.1111/geb.13080		APR 2020											WOS:000525919700001
J	Ji, YJ; Zhang, FD; Zhang, RF; Shen, YZ; Liu, L; Wang, JR; Yang, JY; Tang, Q; Xun, JN; Qi, TK; Wang, ZY; Song, W; Tang, Y; Chen, J; Lu, HZ				Ji, Yongjia; Zhang, Fengdi; Zhang, Renfang; Shen, Yinzhong; Liu, Li; Wang, Jiangrong; Yang, Junyang; Tang, Qi; Xun, Jingna; Qi, Tangkai; Wang, Zhenyan; Song, Wei; Tang, Yang; Chen, Jun; Lu, Hongzhou			Changes in intestinal microbiota in HIV-1-infected subjects following cART initiation: influence of CD4+T cell count	EMERGING MICROBES & INFECTIONS												The roles of immunodeficiency and combined antiretroviral therapy (cART) in shaping the gut microbiota in HIV-1-infected subjects (HISs) have not been described thoroughly by time-series investigations. In this study, 36 antiretroviral-naive HISs were enrolled to prospectively assess alterations in the fecal microbiota and plasma markers of microbial translocation and inflammation with cART. At baseline, the species alpha-diversity of the fecal microbiota was significantly lower in HISs with a CD4(+) T cell count <300/mm(3) than in HISs with a CD4(+) T cell count >300/mm(3) (Shannon index: Median 2.557 vs. 2.981, P= 0.006; Simpson index: Median 0.168 vs. 0.096, P= 0.004). Additionally, the baseline a-diversity indices correlated with CD4(+) T cell counts (Shannon index: r= 0.474, P= 0.004; Simpson index: r = -0.467, P = 0.004) and the specific plasma biomarkers for microbial translocation and inflammation. After cART introduction, the species a-diversity of fecal microbiota in HISs with CD4(+) T cell counts <300/mm(3) was significantly restored (Shannon index: Median 2.557 vs. 2.791, P = 0.007; Simpson index: Median 0.168 vs. 0.112, P = 0.004), while the variances were insignificant among HISs with CD4(+) T cell counts >300/mm(3) (Shannon index: Median 2.981 vs. 2.934, P = 0.179; Simpson index: Median 0.096 vs. 0.119, P = 0.082). Meanwhile, with cART introduction, alterations in the gut microbial composition were more significant in the subgroup with CD4(+) T cell counts >300/mm(3), corresponding to increases in the specific plasma inflammatory markers. These findings implicated the interactive roles of immunodeficiency and cART for affecting gut microbiota in HIV-1-infected individuals, providing new insights into intestinal microbiome dysbiosis related to HIV-1 infection.					Chen, Jun/GXH-9420-2022	Chen, Jun/0000-0002-3850-4875													2222-1751					JUN 22	2018	7								113	10.1038/s41426-018-0117-y	http://dx.doi.org/10.1038/s41426-018-0117-y								29934497					WOS:000436304800002
J	Fauvel, M; Lopes, M; Dubo, T; Rivers-Moore, J; Frison, PL; Gross, N; Ouin, A				Fauvel, Mathieu; Lopes, Mailys; Dubo, Titouan; Rivers-Moore, Justine; Frison, Pierre-Louis; Gross, Nicolas; Ouin, Annie			Prediction of plant diversity in grasslands using Sentinel-1 and-2 satellite image time series	REMOTE SENSING OF ENVIRONMENT												The prediction of grasslands plant diversity using satellite image time series is considered in this article. Fifteen months of freely available Sentinel optical and radar data were used to predict taxonomic and functional diversity at the pixel scale (10 m x 10 m) over a large geographical extent (40,000 km(2)). 415 field measurements were collected in 83 grasslands to train and validate several statistical learning methods. The objective was to link the satellite spectro-temporal data to the plant diversity indices. Among the several diversity indices tested, Simpson and Shannon indices were best predicted with a coefficient of determination around 0.4 using a Random Forest predictor and Sentinel-2 data. The use of Sentinel-1 data was not found to improve significantly the prediction accuracy. Using the Random Forest algorithm and the Sentinel-2 time series, the prediction of the Simpson index was performed. The resulting map highlights the intra-parcel variability and demonstrates the capacity of satellite image time series to monitor grasslands plant taxonomic diversity from an ecological viewpoint.					Rivers-Moore, Justine/JBJ-7833-2023; Frison, Pierre-Louis/HHN-1742-2022; Gross, Nicolas/I-2368-2016	Rivers-Moore, Justine/0000-0001-5079-7642; Gross, Nicolas/0000-0001-9730-3240; Dubo-Degeilh, Titouan/0000-0002-8546-0561													0034-4257	1879-0704				FEB	2020	237								111536	10.1016/j.rse.2019.111536	http://dx.doi.org/10.1016/j.rse.2019.111536													WOS:000509819300025
J	Chen, XP; Zhang, XX; Zhu, X; Zhang, H; Liang, X; Lei, YR; He, CQ				Chen Xueping; Zhang Xuanxuan; Zhu Xi'e; Zhang Hui; Liang Xia; Lei Yanru; He Chiquan			Exotic Plant <i>Alnus trabeculosa</i> Alters the Composition and Diversity of Native Rhizosphere Bacterial Communities of <i>Phragmites australis</i>	PEDOSPHERE												Alnus trabeculosa, a rhizobia-nodulating tree, was introduced into the Chongxi tidal wetland in the Yangtze River estuary of China to increase the biodiversity of plants and restore tidal wetland functions. However, the effect of the introduced plant on soil bacterial communities and restoration outcomes remains unknown. In this study, the rhizosphere bacterial community structure and diversity were compared between Phragmites australis monospecific community and A. trabeculosa-P. australis mixed communities, aiming to assess whether A. trabeculosa influenced the rhizosphere bacterial communities of P. australis and to investigate whether different taxonomic groups within a soil community may respond similarly to the presence of an introduced exotic plant. Among the 14 phylogenetic phyla detected, Proteobacteria and Acidobacteria were the dominant bacterial taxa in the rhizosphere. Phylogenetic analysis of the predominant Proteobacteria showed that the clones from the rhizosphere soils of A. trabeculosa and P. australis in A. trabeculosa-P. australis mixed communities were more diverse than those in the rhizosphere soil of P. australis in P. australis monospecific community. The rhizosphere community in the wetland potentially included active microbial community related to carbon, nitrogen, and sulfur cycling in the Yangtze River estuary. The rhizosphere soil of P. australis in A. trabeculosa-P. australis mixed communities exhibited the highest Shannon diversity index (H') and Simpson diversity index (1/D) (H = 4.52, 1/D = 253). Correspondence analyses revealed that the bacterial community structures were altered after A. trabeculosa was introduced. Key Words: clone library, phylogenetic group, restoration outcomes, rhizosphere soil microbial index, Shannon diversity index, Simpson diversity index, 16S rRNA gene, wetland restoration					Hui, Zhang/JWQ-0400-2024; wang, ya/HQZ-7558-2023; hui, zhang/HZJ-4420-2023														1002-0160	2210-5107				FEB	2016	26	1					108	119		10.1016/S1002-0160(15)60027-3	http://dx.doi.org/10.1016/S1002-0160(15)60027-3													WOS:000368964900011
J	Baczkowski, AJ; Joanes, DN; Shamia, GM				Baczkowski, AJ; Joanes, DN; Shamia, GM			Range of validity of α and β for a generalized diversity index H(α,β) due to Good	MATHEMATICAL BIOSCIENCES												Good (I.J. Good, Biometrika 40 (1953) 237; J. Am. Statist. Assoc. 77 (1982) 561) proposed a diversity index H(alpha, beta), defined for non-negative integer alpha and beta, which generalized the well-known indices of Shannon and Simpson. In this paper we further generalize Good's index by allowing the parameters alpha and beta to take values in the real plane. For two simple properties which a 'good' diversity index should possess, we determine the range of valid alpha and beta values for this generalized index. (C) 1998 Elsevier Science Inc. All rights reserved.					Shamia, Gebriel/AAS-1069-2020														0025-5564	1879-3134				MAR	1998	148	2					115	128		10.1016/S0025-5564(97)10013-X	http://dx.doi.org/10.1016/S0025-5564(97)10013-X								9610102					WOS:000073740800001
C	Borruso, G		Gavrilova, ML; Tan, CJK		Borruso, Giuseppe			Geographical Analysis of Foreign Immigration and Spatial Patterns in Urban Areas: Density Estimation, Spatial Segregation and Diversity Analysis	TRANSACTIONS ON COMPUTATIONAL SCIENCE VI	Lecture Notes in Computer Science				International Conference on Computational Science and Its Applications (ICCSA 2008)	JUN 30-JUL 03, 2008	Perugia, ITALY	Univ Perugia, Univ Calgary, Innovat Computat Sci Applicat, MAXSTER UP, Univ Calgary, SPARCS Lab, OptimaNumerics				The paper is focused on the analysis of immigrant population and particularly on some of the characteristics of their spatial distribution in an urban environment. The attention is drawn on examining whenever there is a tendency to cluster in some parts of a city, with the risk of generating ethnic enclaves or ghettoes, therefore analysing also diversity other than the pure spatial distribution. Methods used in the past to measure segregation and other characteristics of immigrants have long been aspatial, therefore not considering relationships between people within a city. In this paper the attention is dedicated to methods to analyse the immigrant residential distribution spatially, with particular reference to density and diversity-based methods. The analysis is focused on the Municipality of Trieste (Italy) as a case study to test different methods for the analysis of immigration, and particularly to compare different indices, particularly traditional ones, as Location Quotients and the Index of Segregation, to different, spatial ones, based on Kernel Density Estimation functions, as the S index, and indices of diversity, as Shannon (SHDI) and Simpson (SIDI) ones as well as another diversity index proposed (IDiv). The different analysis and indices are performed and implemented in a GIS environment(1).					Borruso, Giuseppe/AAO-4313-2020	Borruso, Giuseppe/0000-0002-0933-5208													0302-9743	1611-3349	978-3-642-10648-4				2009	5730						301	323																WOS:000280705300018
J	Pallmann, P; Schaarschmidt, F; Hothorn, LA; Fischer, C; Nacke, H; Priesnitz, KU; Schork, NJ				Pallmann, Philip; Schaarschmidt, Frank; Hothorn, Ludwig A.; Fischer, Christiane; Nacke, Heiko; Priesnitz, Kai U.; Schork, Nicholas J.			Assessing group differences in biodiversity by simultaneously testing a user-defined selection of diversity indices	MOLECULAR ECOLOGY RESOURCES												Comparing diversities between groups is a task biologists are frequently faced with, for example in ecological field trials or when dealing with metagenomics data. However, researchers often waver about which measure of diversity to choose as there is a multitude of approaches available. As Jost (2008, Molecular Ecology, 17, 4015) has pointed out, widely used measures such as the Shannon or Simpson index have undesirable properties which make them hard to compare and interpret. Many of the problems associated with the use of these raw indices can be corrected by transforming them into true diversity measures. We introduce a technique that allows the comparison of two or more groups of observations and simultaneously tests a user-defined selection of a number of true diversity measures. This procedure yields multiplicity-adjusted P-values according to the method of Westfall and Young (1993, Resampling-Based Multiple Testing: Examples and Methods for p-Value Adjustment, 49, 941), which ensures that the rate of false positives (type I error) does not rise when the number of groups and/or diversity indices is extended. Software is available in the R package simboot.						Nacke, Heiko/0000-0001-6169-6169; Pallmann, Philip/0000-0001-8274-9696; Schork, Nicholas/0000-0003-0920-5013													1755-098X	1755-0998				NOV	2012	12	6					1068	1078		10.1111/1755-0998.12004	http://dx.doi.org/10.1111/1755-0998.12004								22934781					WOS:000309739700011
C	Lee, S		Chova, LG; Martinez, AL; Torres, IC		Lee, Sangnam.			IS THE DIVERSITY INDEX USEFUL TO IDENTIFY THE DIVERSE OR INTERDISCIPLINARY RESEARCH ACTIVITY? APPLYING THE DIVERSITY INDEX TO KOREAN GOVERNMENT BASIC RESEARCH PROGRAM	ICERI2014: 7TH INTERNATIONAL CONFERENCE OF EDUCATION, RESEARCH AND INNOVATION	ICERI Proceedings				7th International Conference of Education, Research and Innovation (ICERI)	NOV 17-19, 2014	Seville, SPAIN					This article focuses on applying diversity index to government basic research funding, especially individual basic research. Korean government has three programs in individual basic research funding. They are categorized by researcher's capability level, so they are youth researcher program, middle-level researcher program and advanced-level researcher program. At first, It is about the diversity index as a way of indicating the diverse research activities. So the author assumes that the diversity index of youth researcher program is highest in three programs. Secondly, It is about the diversity index as a way of indicating the interdisciplinary research activity. So the author assumes that the diversity index of advanced-level researcher program is highest in three programs. In this article simpson index and sterling index are used to measure diversity.																			2340-1095		978-84-617-2484-0				2014							6589	6595																WOS:000367082906094
J	Cui, RR; Qi, S; Wu, BC; Zhang, D; Zhang, L; Zhou, P; Ma, N; Huang, X				Cui, Ranran; Qi, Shi; Wu, Bingchen; Zhang, Dai; Zhang, Lin; Zhou, Piao; Ma, Ning; Huang, Xian			The Influence of Stand Structure on Understory Herbaceous Plants Species Diversity of <i>Platycladus orientalis</i> Plantations in Beijing, China	FORESTS												Species diversity is a crucial index used to evaluate the stability and complexity of forest ecosystems. Studying the relationship between stand structure and understory herbaceous plants species diversity is useful for managers to formulate the best forest structure optimization method with the goal of improving herbaceous species diversity. In this research, Platycladus orientalis plantations in Beijing were taken as the research object. Pearson's correlation analysis was used to explore the single-factor correlation between stand structure and understory herbaceous plants species diversity; furthermore, a typical correlation analysis and multiple linear regression were used to explore the multi-factor correlation and analyze the dominant stand structure parameters affecting understory herbaceous plants species diversity. In the range of stand structures studied, the results showed that canopy density was negatively correlated with the Shannon-Wiener index and Simpson index (p < 0.01), and tree density was negatively correlated with the Shannon-Wiener index (p < 0.05). In terms of stand spatial structure, the mingling degree was positively correlated with the Shannon-Wiener index, Simpson index, Margalef richness index and Pielou evenness index (p < 0.05), while the uniform angle was negatively correlated with the Pielou evenness index (p < 0.05). The correlation coefficient of the first group of typical variables in the typical correlation analysis was 0.90 (p < 0.05); from this group of typical variables, it can be concluded that canopy density is the most influential indicator affecting the comprehensive index of understory herbaceous plants species diversity, with a load of -0.690, and the Shannon-Wiener index and Simpson index are the most responsive indicators of changes in the comprehensive index of stand structure, with loads of 0.871 and 0.801, respectively. In the process of the management of Platycladus orientalis plantations under a low altitude, south slope, thin soil layer and hard soil parent material, in order to improve the herbaceous species diversity, the canopy density of the overstory and tree density should be appropriately reduced. Additionally, it is necessary to regulate the horizontal spatial structure of stands. When the trees are randomly distributed and the mingling degree is high, the species diversity of herbs can be increased.																				1999-4907				NOV	2022	13	11							1921	10.3390/f13111921	http://dx.doi.org/10.3390/f13111921													WOS:000894906000001
J	Berbec, AK; Staniak, M; Feledyn-Szewczyk, B; Kocira, A; Stalenga, J				Berbec, Adam Kleofas; Staniak, Mariola; Feledyn-Szewczyk, Beata; Kocira, Anna; Stalenga, Jaroslaw			Organic but Also Low-Input Conventional Farming Systems Support High Biodiversity of Weed Species in Winter Cereals	AGRICULTURE-BASEL												In recent years, the European Union has been paying particular attention to the problem of biodiversity loss. The possibilities of its assessment and conservation are included in the latest European Union (EU) policies and reflected in the European Biodiversity Strategy. The biodiversity of weeds in winter cereals in organic and conventional low-input farms in Eastern Poland was investigated during a 3-year period. Significantly more species and larger abundance were found in organic than in conventional farming systems. The biodiversity of these communities was described by Shannon's diversity and Simpson's dominance indices, which showed diversity to be well maintained in both farming systems; however, significantly higher Shannon's index and significantly lower Simpson's index values were observed in organic farms. Both farming systems were the mainstay of endangered and rare species, as well as some invasive weed species. Weed communities of organic farms were dominated mostly bySetaria pumilaandElymus repens, while conventional farms were dominated byJuncus bufoniusandSetaria pumila. The study showed the importance of organic farming systems for biodiversity conservation. It was also shown that low-input (traditional) conventional farms are also beneficial for biodiversity conservation.					Feledyn-Szewczyk, Beata/ADY-4307-2022	Feledyn-Szewczyk, Beata/0000-0003-2912-1909; Staniak, Mariola/0000-0003-1962-9469; Kocira, Anna/0000-0002-6408-4552; Stalenga, Jaroslaw/0000-0002-3486-0995; Berbec, Adam Kleofas/0000-0002-4609-081X														2077-0472				SEP	2020	10	9							413	10.3390/agriculture10090413	http://dx.doi.org/10.3390/agriculture10090413													WOS:000578183200001
B	Chen, YH	Chen, Y			Chen, Youhua	Chen, Y		Species Richness and Diversity	BIODIVERSITY AND BIOGEOGRAPHIC PATTERNS IN ASIA-PACIFIC REGION I: STATISTICAL METHODS AND CASE STUDIES												This chapter provides some metrics for measuring species diversity, the most basic and important diversity component in ecological studies. The metrics for species diversity covered only some common used ones in this book, like Shannon and Simpson indices. The closed forms for computing the variance of the relevant indices are also provided. Typical methods for the extrapolation of species richness are also mentioned in the text.																					978-1-68108-015-4; 978-1-68108-016-1				2015							3	8				10.2174/97816810801541150101												WOS:000471137600003
